pcode,name,category,LawModifiedDate,LawEffectiveDate,discarded
Q0060007,現役軍人死亡無人繼承遺產管理辦法,"行政,國防部,留守業務目",20060614,,
Q0060008,大陸地區物品勞務服務在臺灣地區從事廣告活動管理辦法,"行政,大陸委員會,兩岸法政目",20130829,,
Q0060009,臺灣地區人民法人團體或其他機構擔任大陸地區法人團體或其他機構職務或為其成員許可管理辦法,"行政,大陸委員會,兩岸法政目",20040301,,
Q0060010,公務員轉任受託處理大陸事務機構或民間團體辦理退休資遣或撫卹之公務員年資退離給與及經費編列辦法,"行政,大陸委員會,人事法規目",20040621,,
Q0060011,臺灣地區與大陸地區人民關係條例施行前進入臺灣地區之大陸地區配偶申請居留或定居許可辦法,"廢止法規,內政部",20031229,,true
Q0060012,大陸地區衛生專業人士來臺從事衛生相關活動許可辦法,"廢止法規,行政院衛生署",19980629,,true
Q0060014,駐香港或澳門機構在當地聘僱人員及聘僱期間認定辦法,"行政,大陸委員會,人事法規目",20210820,,
Q0060015,大陸委員會訂定財團法人法授權規定事項辦法,"行政,大陸委員會,兩岸法政目",20201230,,
R0000001,考選部組織法,"考試,考選部,組織目",20230517,,
R0000002,公職候選人檢覈委員會組織規程,"廢止法規,考選部",20010209,,true
R0000003,考選部訓練委員會組織規程,"廢止法規,考選部",20010313,,true
R0000004,考選部專門職業及技術人員檢覈委員會組織規程,"廢止法規,考選部",20080715,,true
R0000005,考選部國軍上校以上軍官外職停役轉任公務人員檢覈委員會組織規程,"廢止法規,考選部",20060322,,true
R0000010,專門職業及技術人員考試訓練委員會組織規程,"廢止法規,考選部",20220816,,true
R0000011,試務處組織規程,"考試,考選部,組織目",20240118,,
R0000012,考選部國家考試電子計算器標章審議委員會組織規程,"廢止法規,考選部",20100913,,true
R0000013,考試院經費稽核委員會組織規程,"廢止法規,院本部",20140806,,true
R0010001,考選部處務規程,"考試,考選部,組織目",20230727,,
R0010002,考選部部務會議規則,"廢止法規,考選部",20050531,,true
R0010003,考選部工作檢討會議規則,"廢止法規,考選部",20050531,,true
R0010004,考選部訴願審議委員會審議規則,"廢止法規,考選部",19941221,,true
R0010005,考選業務基金收支保管及運用辦法,"考試,考選部,一般性考試目",20150128,,
R0010006,考選部國家考場大樓地下停車場收費標準,"考試,考選部,組織目",20171123,,
R0010007,考選專業獎章頒給辦法,"考試,考選部,組織目",20210916,,
R0010008,考試院及所屬各機關（構）公務員辦公時數準則,"考試,院本部,通用目",20220915,,
R0010009,考試院及所屬各機關（構）聘僱人員給假辦法,"考試,院本部,通用目",20220915,,
R0010010,考選部編制表,"考試,考選部,組織目",20230727,,
R0020001,典試法,"考試,考選部,一般性考試目",20231129,,
R0020002,典試法施行細則,"考試,考選部,一般性考試目",20220725,,
R0020003,典試委員會會議規則,"考試,考選部,一般性考試目",20210911,,
R0020004,監試法,"廢止法規,考選部",20210428,,true
R0020005,試場規則,"考試,考選部,一般性考試目",20210824,,
R0020006,監場規則,"考試,考選部,一般性考試目",20190909,,
R0020007,監場人員選聘規則,"廢止法規,考選部",20030108,,true
R0020008,著作發明審查規則,"考試,考選部,一般性考試目",20160624,,
R0020009,考選部受理妨害考試檢舉辦法,"廢止法規,考選部",20031120,,true
R0020010,考試時遇有空襲警報處理辦法,"廢止法規,考選部",19940411,,true
R0020011,應考人呈繳偽造或變造證件處理辦法,"廢止法規,考選部",20000505,,true
R0020012,闈場規則,"廢止法規,考選部",20050214,,true
R0020013,測驗式試題閱卷辦法,"廢止法規,考選部",20031229,,true
R0020014,測驗式試題計分辦法,"廢止法規,考選部",20060920,,true
R0020015,應考資格審查規則,"考試,考選部,一般性考試目",20190909,,
R0020016,應考人申請複查成績辦法,"考試,考選部,一般性考試目",20220315,,
R0020017,命題規則,"考試,考選部,一般性考試目",20231228,,
R0020018,閱卷規則,"考試,考選部,一般性考試目",20231228,,
R0020019,試卷試卡保管辦法,"廢止法規,考選部",20021113,,true
R0020020,題庫建立及運用辦法,"考試,考選部,一般性考試目",20230713,,
R0020021,測驗式試題命題辦法,"廢止法規,考選部",20030711,,true
R0020022,考選部委託辦理試務辦法,"廢止法規,考選部",20030506,,true
R0020023,心理測驗與體能測驗規則,"廢止法規,考選部",20160205,,true
R0020024,試卷保管辦法,"考試,考選部,一般性考試目",20230921,,
R0020025,國家考試偶發事件處理辦法,"考試,考選部,一般性考試目",20230921,,
R0020026,委託辦理考試辦法,"考試,考選部,一般性考試目",20160502,,
R0020027,考試院及所屬機關提供政府資訊收費標準,"考試,院本部,通用目",20220128,,
R0020028,公務人員考試須具備專門職業證書始得應考類科審核標準,"考試,考選部,公務人員考試目",20140714,,
R0020029,國家考試闈場安全及管理辦法,"考試,考選部,一般性考試目",20230921,,
R0020030,典試人力資料庫建置運用及管理辦法,"考試,考選部,一般性考試目",20210922,,
R0020031,國家考試報名及申請案件電子送達實施辦法,"考試,考選部,一般性考試目",20151027,,
R0020032,國家考試分數轉換辦法,"考試,考選部,一般性考試目",20151109,,
R0020033,應考人申請閱覽試卷辦法,"考試,考選部,一般性考試目",20220315,,
R0020034,體能測驗規則,"考試,考選部,一般性考試目",20211122,,
R0020035,心理測驗規則,"考試,考選部,一般性考試目",20151214,,
R0020036,題庫電子試題製作保密作業辦法,"考試,考選部,一般性考試目",20160205,,
R0020037,身心障礙者應國家考試權益維護辦法,"考試,考選部,一般性考試目",20230302,,
R0020038,國家考試電子計算器審查收費標準,"考試,考選部,一般性考試目",20191205,,
R0030001,公務人員考試法,"考試,考選部,公務人員考試目",20231129,,
R0030002,公務人員考試法施行細則,"考試,考選部,公務人員考試目",20211122,,
R0030003,公務人員高等暨普通考試訓練辦法,"廢止法規,公務人員保障暨培訓委員會",19970828,,true
R0030004,公務人員考試口試規則,"廢止法規,考選部",20001127,,true
R0030005,公務人員考試實地考試規則,"廢止法規,考選部",20001127,,true
R0030006,公務人員考試總成績計算規則,"考試,考選部,公務人員考試目",20210201,,
R0030007,公務人員考試體格檢查辦法,"考試,考選部,公務人員考試目",20211122,,
